path,variable,scenario,driver,rcm,frequency,grid,biascorrection,common,member_id
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.CNRM-CM5.CRCM5-OUR.day.NAM-22i.raw.nc,tasmax,rcp85,CNRM-CM5,CRCM5-OUR,day,NAM-22i,raw,common,CNRM-CM5.CRCM5-OUR
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.CanESM2.CRCM5-OUR.day.NAM-22i.raw.nc,tasmax,rcp85,CanESM2,CRCM5-OUR,day,NAM-22i,raw,common,CanESM2.CRCM5-OUR
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.CanESM2.CRCM5-UQAM.day.NAM-22i.raw.nc,tasmax,rcp85,CanESM2,CRCM5-UQAM,day,NAM-22i,raw,common,CanESM2.CRCM5-UQAM
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.CanESM2.CanRCM4.day.NAM-22i.raw.nc,tasmax,rcp85,CanESM2,CanRCM4,day,NAM-22i,raw,common,CanESM2.CanRCM4
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.GEMatm-Can.CRCM5-UQAM.day.NAM-22i.raw.nc,tasmax,rcp85,GEMatm-Can,CRCM5-UQAM,day,NAM-22i,raw,common,GEMatm-Can.CRCM5-UQAM
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.GEMatm-MPI.CRCM5-UQAM.day.NAM-22i.raw.nc,tasmax,rcp85,GEMatm-MPI,CRCM5-UQAM,day,NAM-22i,raw,common,GEMatm-MPI.CRCM5-UQAM
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.GFDL-ESM2M.CRCM5-OUR.day.NAM-22i.raw.nc,tasmax,rcp85,GFDL-ESM2M,CRCM5-OUR,day,NAM-22i,raw,common,GFDL-ESM2M.CRCM5-OUR
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.GFDL-ESM2M.RegCM4.day.NAM-22i.raw.nc,tasmax,rcp85,GFDL-ESM2M,RegCM4,day,NAM-22i,raw,common,GFDL-ESM2M.RegCM4
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.GFDL-ESM2M.WRF.day.NAM-22i.raw.nc,tasmax,rcp85,GFDL-ESM2M,WRF,day,NAM-22i,raw,common,GFDL-ESM2M.WRF
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.HadGEM2-ES.RegCM4.day.NAM-22i.raw.nc,tasmax,rcp85,HadGEM2-ES,RegCM4,day,NAM-22i,raw,common,HadGEM2-ES.RegCM4
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.HadGEM2-ES.WRF.day.NAM-22i.raw.nc,tasmax,rcp85,HadGEM2-ES,WRF,day,NAM-22i,raw,common,HadGEM2-ES.WRF
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.MPI-ESM-LR.CRCM5-OUR.day.NAM-22i.raw.nc,tasmax,rcp85,MPI-ESM-LR,CRCM5-OUR,day,NAM-22i,raw,common,MPI-ESM-LR.CRCM5-OUR
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.MPI-ESM-LR.CRCM5-UQAM.day.NAM-22i.raw.nc,tasmax,rcp85,MPI-ESM-LR,CRCM5-UQAM,day,NAM-22i,raw,common,MPI-ESM-LR.CRCM5-UQAM
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.MPI-ESM-LR.RegCM4.day.NAM-22i.raw.nc,tasmax,rcp85,MPI-ESM-LR,RegCM4,day,NAM-22i,raw,common,MPI-ESM-LR.RegCM4
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.MPI-ESM-LR.WRF.day.NAM-22i.raw.nc,tasmax,rcp85,MPI-ESM-LR,WRF,day,NAM-22i,raw,common,MPI-ESM-LR.WRF
/glade/u/home/bonnland/GitRepos/cesm-lens-zarrification/notebooks/na-cordex/data-subsets/subset_tasmax.rcp85.MPI-ESM-MR.CRCM5-UQAM.day.NAM-22i.raw.nc,tasmax,rcp85,MPI-ESM-MR,CRCM5-UQAM,day,NAM-22i,raw,common,MPI-ESM-MR.CRCM5-UQAM
